                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4973,                0.97336,                 1.3641,                0.89992,                0.83126,                0.89853,                 0.5265,                 1.3854,                0.85573,                 1.4248,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.5009,                0.97156,                 1.3672,                0.86508,                0.84668,                0.89565,                0.52133,                 1.3567,                0.86845,                 1.4033,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.4823,                0.96214,                 1.3535,                0.87211,                0.84843,                0.90582,                0.53981,                 1.3575,                0.80583,                 1.3994,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.4878,                0.96839,                 1.3549,                0.88716,                 0.8308,                0.88885,                0.52791,                 1.3594,                  0.848,                 1.3981,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.4769,                0.95038,                 1.3428,                0.93374,                0.81995,                0.91432,                0.53045,                 1.3748,                0.83328,                 1.4094,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.4664,                0.94261,                 1.3401,                0.88924,                0.82151,                0.90166,                 0.5084,                 1.3988,                0.91106,                 1.4256,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.4586,                0.92687,                 1.3301,                0.89136,                0.81287,                0.90725,                0.55062,                 1.3058,                0.77392,                 1.3667,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.4618,                 0.9268,                 1.3311,                0.90003,                0.80892,                0.88842,                0.51217,                 1.3694,                0.90138,                  1.408,               0.009604,               0.009604,               0.009604
                     43,                 1.4447,                0.91572,                 1.3259,                0.91635,                0.81377,                0.89863,                0.54771,                 1.3166,                0.77017,                 1.3733,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.4483,                0.91745,                 1.3285,                0.90138,                0.83946,                0.89912,                0.54295,                 1.3276,                0.79092,                 1.3824,              0.0095842,              0.0095842,              0.0095842
